Video Name,n_faces,total_area_mm2,n_observed_faces,n_unobserved_faces,observed_area_mm2,unobserved_area_mm2,unobserved_frac_by_count,unobserved_frac_by_area,n_unobserved_components,comp_area_top1_mm2,comp_area_top2_mm2,comp_area_top3_mm2,comp_area_top4_mm2,comp_area_top5_mm2,n_components_gt5mm_diam,n_components_gt10mm_diam,largest_component_equiv_diam_mm,Colon,Segment,Phantom Number,Video Number ,Camera Speed,Edge Enhancement,Brightness,Debris,Deformation,Open End Visible,Tags,Comments,Qualitative Score,Quantitative Score,Youtube Preview URL ID,Total Frames
c1_transverse2_t3_v3,150868,17898.360980346763,110172,40696,13507.738724510415,4390.622255836348,0.26974573799612905,0.24530862131216688,46,1899.9297696183512,1807.0519820820236,350.00107174938955,105.77374463611847,79.15515518777659,8,5,49.18399856556655,c1,transverse2,t3,v3,17.0,3.0,4.0,yes,no,yes,straight line,yellow fecal matter; straight line motion backing up,1.0,,eRzIB4ZReVQ,249
c1_transverse2_t4_v1,150868,17898.36691449865,114794,36074,14074.51416666296,3823.8527478356928,0.23910968528780124,0.213642549965727,39,1785.1063230750653,1604.9003798859376,198.80823439614954,122.30427323625564,58.51838055809334,7,4,47.67460500199196,c1,transverse2,t4,v1,12.0,2.0,0.0,no,no,yes,,,3.0,-0.5096,RXnRHyYE2r8,258
c1_transverse2_t4_v2,150868,17898.36691449865,122689,28179,14985.078680850354,2913.2882336482967,0.1867791711960124,0.16276838258849052,46,1095.6429839190712,734.9717046617011,544.5480050750725,202.66060280511354,123.45727841138566,8,6,37.34991263761394,c1,transverse2,t4,v2,12.0,2.0,0.0,no,no,yes,zigzag,,3.0,0.8025,GJb2d7k1ARw,419
c1_transverse2_t4_v3,150868,17898.36691449865,122710,28158,14985.902935228247,2912.4639792704043,0.18663997666834584,0.162722330656388,45,1095.9344228770626,735.9958598930687,543.5450089006728,202.6325249052631,122.52578457894245,8,6,37.35487981032176,c1,transverse2,t4,v3,7.0,2.0,0.0,yes,no,yes,zigzag,,3.0,,X5nWILoo3eU,419
c2_ascending_t1_v1,734680,25296.446633707463,585416,149264,20219.628681685565,5076.817952021898,0.20316872652038984,0.200692928360027,303,1768.1973079164331,1098.987746910539,1008.6513058196713,1008.5616863959227,95.39815652139436,7,5,47.448274313545475,c2,ascending,t1,v1,40.0,2.0,2.0,no,no,yes,fast ; exploratory; polyp ,exploratory motion,2.0,0.8501,ozqeovNOIfE,283
c2_ascending_t1_v2,734680,25296.452927568058,533983,200697,18417.008917007566,6879.44401056049,0.2731760766592258,0.2719529109578551,131,2244.836378851598,1757.6008087733853,1386.7088678428443,1077.5444677337507,199.94761873075646,8,6,53.462271266884464,c2,ascending,t1,v2,20.0,2.0,-3.0,no,no,yes,polyp ; water on lens ; exploratory; saturation,"exploratory motion with close up to the two polyps, lens cleaning and water on lens in the later portion of the video",2.0,-0.2865,qLPYiL_OFzs,515
c2_ascending_t1_v3,734680,25296.452927568058,533958,200722,18415.792528788315,6880.660398779744,0.2732101050797626,0.2720009962851829,129,2244.5337936478163,1758.253436776399,1387.086526418454,1077.768886960323,200.03651652723323,8,6,53.45866801152862,c2,ascending,t1,v3,20.0,2.0,-3.0,yes,no,yes,polyp ; exploratory ; water jet; saturation,cleaning foam of the polyp,2.0,,Ex6d3rG_fTg,515
c2_ascending_t2_v1,734680,25296.45676488055,491188,243492,16904.290557010863,8392.166207869688,0.33142592693417544,0.33175263578892433,107,3472.0840748603277,1834.2484002058536,1574.8443528297698,1172.9699926980622,184.1082781900474,7,6,66.48905734598267,c2,ascending,t2,v1,13.0,3.0,-2.0,no,no,yes,polyp ,45 deg turn of robotic arm,2.0,0.5087,Qp2iyiBW45I,395
c2_ascending_t2_v2,734680,25296.465697043874,487116,247564,16800.57958088024,8495.886116163634,0.33696847607121466,0.33585269254259725,82,3271.2236892076617,1894.4950210239654,1737.240151624154,1220.5336504630968,170.3427933626892,7,6,64.53720911825707,c2,ascending,t2,v2,10.0,3.0,-2.0,no,no,yes,zigzag,swinging exploratory motion,1.0,1.1417,6b-rqr3wg4k,444
c2_ascending_t2_v3,734680,25296.465697043874,487120,247560,16800.348285296073,8496.117411747799,0.33696303152392876,0.335861835937842,92,3271.874498156187,1894.3913166351645,1737.4095994361273,1219.8847274158816,170.32334196719404,7,6,64.5436286279519,c2,ascending,t2,v3,10.0,3.0,-2.0,yes,no,yes,zigzag,"blood, foam, red debris",1.0,,WkPDh3ZMIUs,444
c2_ascending_t3_v1,734680,25296.470020065586,541906,192774,18755.743944349677,6540.726075715911,0.2623917896226929,0.25856279830852674,300,1911.9054356334416,1862.5556675094676,1203.3817573746896,620.6829970034003,392.8284192571247,8,7,49.3387637303835,c2,ascending,t3,v1,25.0,2.0,6.0,no,no,yes,polyp ; fast ; saturation,"polyp in focus, high saturation in images",3.0,-1.2219,ujYcnSfoSEw,340
c2_ascending_t3_v2,734680,25296.470020065586,525435,209245,18153.586312138345,7142.883707927243,0.2848110742091795,0.2823668164870983,127,2714.9763945817776,1786.1266703043448,1301.2568364897202,1086.2885134076246,119.06569469165241,6,6,58.79468775836824,c2,ascending,t3,v2,20.0,2.0,-2.0,no,no,yes,polyp ; fast ,Wait in front of the polyp,3.0,-1.3121,TVE-ox8LQkw,522
c2_ascending_t3_v3,734680,25296.470020065586,525507,209173,18156.163608966795,7140.3064110987925,0.28471307235803345,0.28226493283193194,126,2713.938919760325,1786.0690456801276,1300.5057916330293,1085.3855693133328,119.44514122170241,6,6,58.783453068314,c2,ascending,t3,v3,20.0,2.0,-2.0,yes,no,yes,polyp ; fast ; water jet ,"water jet; Cleaning polyp, blood foam, ",3.0,,HVe71mdQ0Gk,522
c2_ascending_t4_v1,734680,25296.47302042138,524394,210286,18131.524758587628,7164.9482618337515,0.28622801764033323,0.283239021346953,296,2045.557700492643,1855.7755452451206,1655.9790235658425,1162.6344000198196,176.99497460417032,9,6,51.034154791715316,c2,ascending,t4,v1,40.0,3.0,4.0,no,no,yes,mirrored path ; water on lens ; fast ; polyp,first half of path is the same as second half; lens cleaning and water on the lens in the middle,3.0,-0.2158,shSjHJlIw5o,292
c2_ascending_t4_v2,734680,25296.480542150886,539732,194948,18659.623666361273,6636.8568757896155,0.2653509010725758,0.2623628557629109,244,1816.0695413577437,1814.0216217240495,1293.7414902375863,1167.375934776487,319.79536161782727,8,6,48.08629280830172,c2,ascending,t4,v2,30.0,3.0,-2.0,no,no,yes,polyp ; water jet ; water on lens ,"close up of polyp, water jet to on first polyp, lens cleaning and water on lens near second polyp",3.0,-1.2265,S2siIi2omoo,455
c2_ascending_t4_v3,734680,25296.480542150886,539742,194938,18659.94066099896,6636.539881151926,0.2653372897043611,0.2623503245873918,237,1815.9964416201465,1813.7318257603652,1294.6476445027993,1166.2639047957214,319.71700104746753,8,6,48.08532502301623,c2,ascending,t4,v3,30.0,3.0,-2.0,yes,no,yes,polyp ; water jet ; water on lens ,cleaning up polyp using water jet; lens cleaning an water on lens,3.0,,q2MfKAFFEs4,455
c2_cecum_t1_v1,544037,19988.33841599707,445878,98159,16876.78050906036,3111.5579069367077,0.1804270665414301,0.1556686625060573,39,1724.1832840492445,968.45641383409,258.7662260240554,158.72202349109642,0.8699920505073039,4,4,46.85401092353607,c2,cecum,t1,v1,30.0,3.0,0.0,no,no,no,fast ; exploratory ,exploratory exploratory motion,1.0,0.6218,h8-p-8Pdwac,304
c2_cecum_t1_v2,544037,19988.331242789336,480077,63960,18050.931533039315,1937.3997097500235,0.11756553322660039,0.09692653609835129,63,906.7630545653127,554.8334591581365,246.7425665466139,130.01548260759222,87.59072558098471,5,5,33.97832513202209,c2,cecum,t1,v2,60.0,3.0,0.0,no,no,no,fast ; zigzag,"fast zizag pendulum like motion, wait in the middle",2.0,-0.5393,4Jsq4z8ON6M,431
c2_cecum_t1_v3,544037,19988.331242789336,480087,63950,18051.16997296005,1937.1612698292847,0.11754715212384452,0.09691460714250988,58,903.6761059014823,555.850627706235,247.10645453450542,129.89686053692807,88.59894775513888,5,5,33.92043858304382,c2,cecum,t1,v3,60.0,3.0,0.0,yes,no,no,fast ; zigzag ; water jet ; water on lens ,fast zizag motion with water jet on foam and lens cleaning & water on lens immediately afterwards,2.0,,AMWlVyGLMjE,431
c2_cecum_t2_v2,544037,19988.33634563647,456981,87056,17315.307302615918,2673.029043020555,0.16001852815157794,0.13372944084984278,37,2608.1904566877565,46.49475922939691,15.708579920461746,2.0805812288718686,0.050627420510037546,2,1,57.62682734331047,c2,cecum,t2,v2,20.0,3.0,-2.0,no,no,no,exploratory,"exploratory motion, ICV",3.0,-3.41,jh-WiYjS7n0,452
c2_cecum_t2_v3,544037,19988.33634563647,456970,87067,17314.61003477453,2673.7263108619404,0.16003874736460938,0.13376432458550383,39,2608.377980368939,47.00326742206792,15.557052167651976,2.1339895298608864,0.05104335338709256,2,1,57.62889893293269,c2,cecum,t2,v3,20.0,3.0,-2.0,yes,no,no,exploratory ,"blood pool, ICV",3.0,,a7zSKzEEwd0,452
c2_cecum_t3_v1,544037,19988.335296124926,498699,45338,18604.474948219853,1383.860347905073,0.08333624367460302,0.06923339674882067,67,643.0739557565175,374.5263945001544,131.56794266267428,118.86230945901931,102.42750167794875,5,5,28.614457720852734,c2,cecum,t3,v1,50.0,2.0,2.0,no,no,no,fast ,"Fast motion, bumping against the wall",2.0,-0.918,o4sHrW9JqxU,228
c2_cecum_t3_v2,544037,19988.335749492056,396287,147750,15225.19440583171,4763.141343660347,0.27158079321810835,0.2382960444208762,85,4762.378559961039,0.047148512426501824,0.04646230871740381,0.039482458071719885,0.03750919291376547,1,1,77.86943373070908,c2,cecum,t3,v2,30.0,2.0,2.0,no,no,no,fast,oscillatory motion in exploration,1.0,-0.7306,CI45hWmj0EU,306
c2_cecum_t3_v3,544037,19988.335749492056,396310,147727,15228.855775368604,4759.479974123453,0.2715385166817698,0.23811286911389812,80,4758.74769507374,0.0654537785671966,0.03985169590839542,0.037686107932896104,0.03149219863535489,1,1,77.83974401798348,c2,cecum,t3,v3,30.0,2.0,2.0,yes,no,no,fast ; water jet,water jet for cleaning foam to check ,1.0,,4OikTyvXBao,306
c2_cecum_t4_v1,544037,19988.33826128971,458772,85265,17326.17688974571,2662.1613715439994,0.15672647264800005,0.13318572743486423,114,2317.9081216549234,142.22260333899789,76.47611604250375,67.77876901818313,39.043631556268764,5,2,54.325429418954904,c2,cecum,t4,v1,50.0,2.0,-4.0,no,no,no,fast ; loop ,fast jerky motion,2.0,-0.2529,sxqBik4awcM,191
c2_cecum_t4_v2,544037,19988.333956969447,512503,31534,19134.165151739744,854.1688052297004,0.057962969430388006,0.04273336672623845,80,347.4864038083217,190.74233463759882,157.48874627679612,111.91570969632754,20.923274472394095,5,4,21.034101611111574,c2,cecum,t4,v2,20.0,2.0,-4.0,no,no,no,textureless enface ,"wait on the ICV, ",1.0,-0.3107,VrKEOLEsoy4,520
